spot	ypos	xpos
15x11	15	11
16x11	16	11
17x11	17	11
18x11	18	11
19x11	19	11
20x11	20	11
21x11	21	11
22x11	22	11
23x11	23	11
12x12	12	12
13x12	13	12
14x12	14	12
15x12	15	12
16x12	16	12
17x12	17	12
18x12	18	12
19x12	19	12
20x12	20	12
21x12	21	12
22x12	22	12
23x12	23	12
24x12	24	12
10x13	10	13
11x13	11	13
12x13	12	13
13x13	13	13
14x13	14	13
15x13	15	13
16x13	16	13
17x13	17	13
18x13	18	13
19x13	19	13
20x13	20	13
21x13	21	13
22x13	22	13
23x13	23	13
24x13	24	13
25x13	25	13
9x14	9	14
11x14	11	14
12x14	12	14
13x14	13	14
14x14	14	14
15x14	15	14
16x14	16	14
17x14	17	14
18x14	18	14
19x14	19	14
20x14	20	14
21x14	21	14
22x14	22	14
23x14	23	14
24x14	24	14
25x14	25	14
26x14	26	14
8x15	8	15
9x15	9	15
10x15	10	15
11x15	11	15
12x15	12	15
13x15	13	15
14x15	14	15
15x15	15	15
16x15	16	15
17x15	17	15
18x15	18	15
19x15	19	15
20x15	20	15
21x15	21	15
22x15	22	15
23x15	23	15
24x15	24	15
25x15	25	15
26x15	26	15
27x15	27	15
8x16	8	16
9x16	9	16
10x16	10	16
11x16	11	16
12x16	12	16
13x16	13	16
14x16	14	16
15x16	15	16
16x16	16	16
17x16	17	16
18x16	18	16
19x16	19	16
20x16	20	16
21x16	21	16
22x16	22	16
23x16	23	16
24x16	24	16
25x16	25	16
26x16	26	16
27x16	27	16
28x16	28	16
7x17	7	17
8x17	8	17
9x17	9	17
10x17	10	17
11x17	11	17
12x17	12	17
13x17	13	17
14x17	14	17
15x17	15	17
16x17	16	17
17x17	17	17
18x17	18	17
19x17	19	17
20x17	20	17
21x17	21	17
22x17	22	17
23x17	23	17
24x17	24	17
25x17	25	17
26x17	26	17
27x17	27	17
28x17	28	17
7x18	7	18
8x18	8	18
9x18	9	18
10x18	10	18
11x18	11	18
12x18	12	18
13x18	13	18
14x18	14	18
15x18	15	18
16x18	16	18
17x18	17	18
18x18	18	18
19x18	19	18
20x18	20	18
21x18	21	18
22x18	22	18
23x18	23	18
24x18	24	18
25x18	25	18
26x18	26	18
27x18	27	18
28x18	28	18
29x18	29	18
7x19	7	19
8x19	8	19
9x19	9	19
10x19	10	19
11x19	11	19
12x19	12	19
13x19	13	19
14x19	14	19
15x19	15	19
16x19	16	19
17x19	17	19
18x19	18	19
19x19	19	19
20x19	20	19
21x19	21	19
22x19	22	19
23x19	23	19
24x19	24	19
25x19	25	19
26x19	26	19
27x19	27	19
28x19	28	19
29x19	29	19
7x20	7	20
8x20	8	20
9x20	9	20
10x20	10	20
11x20	11	20
12x20	12	20
13x20	13	20
14x20	14	20
15x20	15	20
16x20	16	20
17x20	17	20
18x20	18	20
19x20	19	20
20x20	20	20
21x20	21	20
22x20	22	20
23x20	23	20
24x20	24	20
25x20	25	20
26x20	26	20
27x20	27	20
28x20	28	20
29x20	29	20
7x21	7	21
8x21	8	21
9x21	9	21
10x21	10	21
11x21	11	21
12x21	12	21
13x21	13	21
14x21	14	21
15x21	15	21
16x21	16	21
17x21	17	21
18x21	18	21
19x21	19	21
20x21	20	21
21x21	21	21
22x21	22	21
23x21	23	21
24x21	24	21
25x21	25	21
26x21	26	21
27x21	27	21
7x22	7	22
8x22	8	22
9x22	9	22
10x22	10	22
11x22	11	22
12x22	12	22
13x22	13	22
14x22	14	22
16x22	16	22
17x22	17	22
18x22	18	22
19x22	19	22
20x22	20	22
21x22	21	22
22x22	22	22
23x22	23	22
24x22	24	22
25x22	25	22
7x23	7	23
8x23	8	23
9x23	9	23
10x23	10	23
11x23	11	23
12x23	12	23
13x23	13	23
14x23	14	23
15x23	15	23
16x23	16	23
17x23	17	23
18x23	18	23
19x23	19	23
20x23	20	23
21x23	21	23
22x23	22	23
23x23	23	23
7x24	7	24
8x24	8	24
9x24	9	24
10x24	10	24
11x24	11	24
12x24	12	24
13x24	13	24
14x24	14	24
15x24	15	24
16x24	16	24
17x24	17	24
18x24	18	24
19x24	19	24
20x24	20	24
21x24	21	24
7x25	7	25
8x25	8	25
9x25	9	25
10x25	10	25
11x25	11	25
12x25	12	25
13x25	13	25
14x25	14	25
15x25	15	25
16x25	16	25
17x25	17	25
18x25	18	25
19x25	19	25
8x26	8	26
9x26	9	26
10x26	10	26
11x26	11	26
12x26	12	26
13x26	13	26
14x26	14	26
15x26	15	26
16x26	16	26
17x26	17	26
8x27	8	27
9x27	9	27
10x27	10	27
11x27	11	27
12x27	12	27
13x27	13	27
14x27	14	27
15x27	15	27
9x28	9	28
10x28	10	28
11x28	11	28
12x28	12	28
10x29	10	29
