spot	ypos	xpos
6x7	7	6
6x8	8	6
7x6	6	7
7x7	7	7
7x8	8	7
7x9	9	7
7x10	10	7
7x11	11	7
7x12	12	7
7x13	13	7
7x14	14	7
7x15	15	7
8x5	5	8
8x6	6	8
8x7	7	8
8x8	8	8
8x9	9	8
8x10	10	8
8x11	11	8
8x12	12	8
8x13	13	8
8x14	14	8
8x15	15	8
8x16	16	8
8x17	17	8
8x18	18	8
9x5	5	9
9x6	6	9
9x7	7	9
9x8	8	9
9x9	9	9
9x10	10	9
9x11	11	9
9x12	12	9
9x13	13	9
9x14	14	9
9x15	15	9
9x16	16	9
9x17	17	9
9x18	18	9
10x4	4	10
10x5	5	10
10x6	6	10
10x7	7	10
10x8	8	10
10x9	9	10
10x10	10	10
10x11	11	10
10x12	12	10
10x13	13	10
10x15	15	10
10x16	16	10
10x17	17	10
11x4	4	11
11x5	5	11
11x6	6	11
11x7	7	11
11x8	8	11
11x9	9	11
11x10	10	11
11x11	11	11
11x12	12	11
11x13	13	11
11x14	14	11
11x15	15	11
11x16	16	11
11x17	17	11
12x5	5	12
12x6	6	12
12x7	7	12
12x8	8	12
12x9	9	12
12x10	10	12
12x11	11	12
12x12	12	12
12x13	13	12
12x14	14	12
12x15	15	12
12x16	16	12
12x17	17	12
13x5	5	13
13x6	6	13
13x7	7	13
13x8	8	13
13x9	9	13
13x10	10	13
13x11	11	13
13x12	12	13
13x13	13	13
13x14	14	13
13x15	15	13
13x16	16	13
13x17	17	13
14x5	5	14
14x6	6	14
14x7	7	14
14x8	8	14
14x9	9	14
14x10	10	14
14x11	11	14
14x12	12	14
14x13	13	14
14x14	14	14
14x15	15	14
14x16	16	14
14x17	17	14
15x6	6	15
15x7	7	15
15x8	8	15
15x9	9	15
15x10	10	15
15x11	11	15
15x12	12	15
15x13	13	15
15x14	14	15
15x15	15	15
15x16	16	15
16x5	5	16
16x6	6	16
16x7	7	16
16x8	8	16
16x9	9	16
16x10	10	16
16x11	11	16
16x12	12	16
16x13	13	16
16x14	14	16
16x15	15	16
16x16	16	16
17x6	6	17
17x7	7	17
17x8	8	17
17x9	9	17
17x10	10	17
17x11	11	17
17x12	12	17
17x13	13	17
17x14	14	17
17x15	15	17
17x16	16	17
18x6	6	18
18x7	7	18
18x8	8	18
18x9	9	18
18x10	10	18
18x11	11	18
18x12	12	18
18x13	13	18
18x14	14	18
18x15	15	18
18x16	16	18
19x5	5	19
19x6	6	19
19x7	7	19
19x8	8	19
19x9	9	19
19x10	10	19
19x11	11	19
19x12	12	19
19x13	13	19
19x14	14	19
19x15	15	19
19x16	16	19
20x4	4	20
20x5	5	20
20x6	6	20
20x7	7	20
20x8	8	20
20x9	9	20
20x10	10	20
20x11	11	20
20x12	12	20
20x13	13	20
20x14	14	20
20x15	15	20
21x3	3	21
21x4	4	21
21x5	5	21
21x6	6	21
21x7	7	21
21x8	8	21
21x9	9	21
21x10	10	21
21x11	11	21
21x12	12	21
21x13	13	21
21x14	14	21
21x15	15	21
22x3	3	22
22x4	4	22
22x5	5	22
22x6	6	22
22x7	7	22
22x8	8	22
22x9	9	22
22x10	10	22
22x11	11	22
22x12	12	22
22x13	13	22
22x14	14	22
22x15	15	22
23x5	5	23
23x6	6	23
23x7	7	23
23x8	8	23
23x9	9	23
23x10	10	23
23x11	11	23
23x12	12	23
23x13	13	23
23x14	14	23
23x15	15	23
24x6	6	24
24x7	7	24
24x8	8	24
24x9	9	24
24x10	10	24
24x11	11	24
24x12	12	24
24x13	13	24
24x14	14	24
24x15	15	24
25x6	6	25
25x7	7	25
25x8	8	25
25x9	9	25
25x10	10	25
25x11	11	25
25x12	12	25
25x13	13	25
25x14	14	25
25x15	15	25
26x8	8	26
26x9	9	26
26x10	10	26
26x11	11	26
26x12	12	26
26x13	13	26
26x14	14	26
27x9	9	27
27x10	10	27
27x11	11	27
27x12	12	27
27x13	13	27
27x14	14	27
28x11	11	28
28x12	12	28
28x13	13	28
