spot	ypos	xpos
11x2	11	2
12x2	12	2
13x2	13	2
14x2	14	2
15x2	15	2
16x2	16	2
9x3	9	3
10x3	10	3
11x3	11	3
12x3	12	3
13x3	13	3
14x3	14	3
16x3	16	3
17x3	17	3
18x3	18	3
19x3	19	3
24x3	24	3
25x3	25	3
9x4	9	4
10x4	10	4
11x4	11	4
12x4	12	4
13x4	13	4
14x4	14	4
15x4	15	4
16x4	16	4
17x4	17	4
18x4	18	4
19x4	19	4
20x4	20	4
21x4	21	4
22x4	22	4
24x4	24	4
25x4	25	4
9x5	9	5
10x5	10	5
11x5	11	5
12x5	12	5
13x5	13	5
14x5	14	5
15x5	15	5
16x5	16	5
17x5	17	5
18x5	18	5
19x5	19	5
20x5	20	5
21x5	21	5
22x5	22	5
23x5	23	5
24x5	24	5
25x5	25	5
9x6	9	6
10x6	10	6
11x6	11	6
12x6	12	6
13x6	13	6
14x6	14	6
15x6	15	6
16x6	16	6
17x6	17	6
18x6	18	6
19x6	19	6
20x6	20	6
21x6	21	6
22x6	22	6
23x6	23	6
24x6	24	6
25x6	25	6
26x6	26	6
27x6	27	6
9x7	9	7
10x7	10	7
11x7	11	7
12x7	12	7
13x7	13	7
14x7	14	7
15x7	15	7
16x7	16	7
17x7	17	7
18x7	18	7
19x7	19	7
20x7	20	7
21x7	21	7
22x7	22	7
23x7	23	7
24x7	24	7
25x7	25	7
26x7	26	7
27x7	27	7
9x8	9	8
10x8	10	8
11x8	11	8
12x8	12	8
13x8	13	8
14x8	14	8
15x8	15	8
16x8	16	8
17x8	17	8
18x8	18	8
19x8	19	8
20x8	20	8
21x8	21	8
22x8	22	8
23x8	23	8
24x8	24	8
25x8	25	8
26x8	26	8
27x8	27	8
9x9	9	9
10x9	10	9
11x9	11	9
12x9	12	9
13x9	13	9
14x9	14	9
15x9	15	9
16x9	16	9
17x9	17	9
18x9	18	9
19x9	19	9
20x9	20	9
21x9	21	9
22x9	22	9
23x9	23	9
24x9	24	9
25x9	25	9
26x9	26	9
27x9	27	9
28x9	28	9
8x10	8	10
9x10	9	10
10x10	10	10
11x10	11	10
12x10	12	10
13x10	13	10
14x10	14	10
15x10	15	10
16x10	16	10
17x10	17	10
18x10	18	10
19x10	19	10
20x10	20	10
21x10	21	10
22x10	22	10
23x10	23	10
24x10	24	10
25x10	25	10
26x10	26	10
27x10	27	10
28x10	28	10
8x11	8	11
9x11	9	11
10x11	10	11
11x11	11	11
12x11	12	11
13x11	13	11
14x11	14	11
15x11	15	11
16x11	16	11
17x11	17	11
18x11	18	11
19x11	19	11
20x11	20	11
21x11	21	11
22x11	22	11
23x11	23	11
24x11	24	11
25x11	25	11
26x11	26	11
27x11	27	11
28x11	28	11
8x12	8	12
9x12	9	12
10x12	10	12
11x12	11	12
12x12	12	12
13x12	13	12
14x12	14	12
15x12	15	12
16x12	16	12
17x12	17	12
18x12	18	12
19x12	19	12
20x12	20	12
21x12	21	12
22x12	22	12
23x12	23	12
24x12	24	12
25x12	25	12
26x12	26	12
8x13	8	13
9x13	9	13
10x13	10	13
11x13	11	13
12x13	12	13
13x13	13	13
14x13	14	13
15x13	15	13
16x13	16	13
17x13	17	13
18x13	18	13
19x13	19	13
20x13	20	13
21x13	21	13
22x13	22	13
23x13	23	13
24x13	24	13
25x13	25	13
19x14	19	14
20x14	20	14
21x14	21	14
22x14	22	14
23x14	23	14
